producer,name,vintage,region,appellation,varietal,quantity,size,notes
Canopy,Tres Patas Garnacha,,Spain,Méntrida,Spanish Grenache,1,750ml,,,Red Wine; Vivino avg 3.7; 1322 ratings; https://www.vivino.com/wines/3750901
Bolla,Le Poiane Amarone della Valpolicella Classico,,Italy,Amarone della Valpolicella Classico,Italian Amarone,1,750ml,,,Red Wine; Vivino avg 4.2; 9228 ratings; https://www.vivino.com/wines/13870542
Villa Mongalli,Pozzo del Curato Sagrantino di Montefalco,2015,Italy,Montefalco Sagrantino,Central Italy Red,1,750ml,,,Red Wine; Vivino avg 4.3; 1702 ratings; https://www.vivino.com/wines/146363369
Antonelli San Marco,Sagrantino Montefalco,2019,Italy,Montefalco,Central Italy Red,2,750ml,,,Red Wine; Vivino avg 4.1; 7576 ratings; https://www.vivino.com/wines/160493114
Vinarija Vuina,Crljenak Štafileo,2018,Croatia,Dalmatian Coast,Croatian Red,1,750ml,,,Red Wine; Vivino avg 4.0; 599 ratings; https://www.vivino.com/wines/160775754
Château Lapelletrie,Saint-Émilion Grand Cru,2020,France,Saint-Émilion Grand Cru,Bordeaux Saint-Émilion,1,750ml,,,Red Wine; Vivino avg 4.0; 5529 ratings; https://www.vivino.com/wines/163633290
Bertani,Catullo Valpolicella Ripasso Classico Superiore,2020,Italy,Valpolicella Ripasso Classico,Italian Ripasso,1,750ml,,,Red Wine; Vivino avg 3.9; 1906 ratings; https://www.vivino.com/wines/165434177
Domaine des Tourelles,Marquis des Beys Rouge,2019,Lebanon,Bekaa Valley,Lebanese Red,1,750ml,,,Red Wine; Vivino avg 4.0; 4457 ratings; https://www.vivino.com/wines/166403188
Bottega,Valpolicella Ripasso Superiore,2021,Italy,Valpolicella Ripasso,Italian Ripasso,1,750ml,,,Red Wine; Vivino avg 3.9; 12291 ratings; https://www.vivino.com/wines/167176722
G.D. Vajra,Albe Barolo,2021,Italy,Barolo,Italian Barolo,1,750ml,,,Red Wine; Vivino avg 4.0; 33165 ratings; https://www.vivino.com/wines/167241998
Luigi Righetti,Capitel de Roari Amarone della Valpolicella Classico,2021,Italy,Amarone della Valpolicella Classico,Italian Amarone,2,750ml,,,Red Wine; Vivino avg 4.1; 30453 ratings; https://www.vivino.com/wines/167246887
San Fereolo,Il Provinciale,2019,Italy,Langhe,Italian Nebbiolo,1,750ml,,,Red Wine; Vivino avg 4.0; 1102 ratings; https://www.vivino.com/wines/168965696
Roberto Voerzio,Disanfrancesco Nebbiolo,2022,Italy,Langhe,Italian Nebbiolo,1,750ml,,,Red Wine; Vivino avg 4.0; 8311 ratings; https://www.vivino.com/wines/170605804
San Fereolo,Il Provinciale,2020,Italy,Langhe,Italian Nebbiolo,1,750ml,,,Red Wine; Vivino avg 4.0; 1102 ratings; https://www.vivino.com/wines/170928742
Carbonaia,Montefalco Sagrantino,2015,Italy,Montefalco Sagrantino,Central Italy Red,1,750ml,,,Red Wine; Vivino avg 3.7; 208 ratings; https://www.vivino.com/wines/171137507
Alberto Ballarin,Barolo Bussia,2021,Italy,Barolo,Italian Barolo,1,750ml,,,Red Wine; Vivino avg 4.1; 239 ratings; https://www.vivino.com/wines/173096918
Collina del Sole,Barolo,2021,Italy,Barolo,Italian Barolo,1,750ml,,,Red Wine; Vivino avg 4.0; 3859 ratings; https://www.vivino.com/wines/173447048
Terra Madre,Plavac Mali Barrique,2021,Croatia,Dalmatian Coast,Croatian Dalmatian Coast Plavac Mali Red,1,750ml,,,Red Wine; Vivino avg 3.8; 607 ratings; https://www.vivino.com/wines/173587727
Tenuta San Guido,Le Difese,2023,Italy,Toscana,Tuscan Red,1,750ml,,,Red Wine; Vivino avg 3.8; 52972 ratings; https://www.vivino.com/wines/173723532
Renato Ratti,Ochetti Nebbiolo,2023,Italy,Langhe,Italian Nebbiolo,1,750ml,,,Red Wine; Vivino avg 3.9; 17757 ratings; https://www.vivino.com/wines/173923332
Pietro Clementi,Valpolicella Ripasso Classico Superiore,2020,Italy,Valpolicella Ripasso Classico,Italian Ripasso,1,750ml,,,Red Wine; Vivino avg 3.9; 887 ratings; https://www.vivino.com/wines/174030194
