NOTE: THIS SPREADSHEET IS FREE - you have to USE the FILE Menu: MAKE A COPY to get your own copy free!,,,,,,,,,,,,,,,,,,
Source: SpreadsheetMan,,SpreadsheetMan Wine Bottle Inventory Tracker,,,,,,,,,,,,,,,,
12/28/2019,Producer,Type / Varietal,Vintage,Name,Vineyard,Country,Region,sub-region,town/village,Bottles owned,purchase date,Bottle Size,Comment,buying and tasting notes,WS Rtg,RP Rtg,WS Timing,RP Timing
,A. Rafanelli,Zinfandel,1993,Dry Creek Valley,,US,CA,Sonoma County,Dry Creek Valley,2,,750 ml,,bought 1/96,,,,
,Alexander Valley ,Cab-Sauv,1992,,,US,CA,Alexander Valley,,1,,750 ml,,,,,,
,Anderson's Conn Valley,Cab-Sauv,1991,Estate Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Anderson's Conn Valley,Cab-Sauv,1992,Estate Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Arrowfield,Cab-Merl,1991,,,Australia,South Eastern,,,1,,750 ml,,,,,,
,Beaulieu Vineyard,Cab-Sauv,1991,Rutherford,,US,CA,Napa,,11,,750 ml,,,87,,,
,Beaulieu Vineyard,Cab-Sauv,1992,Rutherford,,US,CA,Napa,,1,,750 ml,,,,,,
,Benzinger,Cab-Sauv,1992,[Signed Bottle],,US,CA,Sonoma Cnty,,1,,750 ml,,,,,,
,Beringer,Cab-Sauv,1982,Proprieter's Grown,,US,CA,Napa,,0,,750 ml,,,,,,
,Beringer,Cab-Sauv,1991,Private Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Bodegas Esmeralda,Cab-Sauv,1992,Catena Estate Bottled,Agrelo ,Argentina,Mendoza?,,,1,,750 ml,,,,,,
,Caymus,Cab-Sauv,1990,,,US,CA,Napa,,1,,750 ml,,,93,,,
,Ch.Canon la Gaffeliere,Bordeaux,1989,,,France,Saint Emilion,,,1,,750 ml,,,,89,,1995-2002
,Ch.Cantenac Brown,Bordeaux,1985,,,France,Maraux,,,1,,750 ml,,,,,,
,Ch.Clerc Milon,Bordeaux,1989,,,France,Paullac,,,1,,750 ml,,,96,90,1999+,1993-2010
,Ch.Clos Du Marquis,Bordeaux,1990,,,France,Saint Julien,,,1,,750 ml,,,,88,,1995-2006
,Ch.d'Armailhac,Bordeaux,1990,,,France,Paulliac,,,1,,750 ml,,,89,85,1997+,1994-2003
,Ch.De Carles,Bordeaux,1990,,,France,Fronsac,,,2,,750 ml,,,,86,,1994-2000
,Ch.De Fieuzal,Bordeaux,1989,,,France,Pessac-Leognan,,,1,,750 ml,,,95,87,1998+,1994-2010
,Ch.De Pez,Bordeaux,1986,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.De Pez,Bordeaux,1990,,,France,Saint Estephe,,,13,,750 ml,,,,,,
,Ch.Greysac,Bordeaux,1988,,,France,Medoc,,,1,,750 ml,,,,,,
y,Ch.Haut Batailley,Bordeaux,1989,,,France,Paulliac,,,1,,750 ml,,,,87,,1994-2006
y,Ch.Haut Sociando,Bordeaux,1990,,,France,Ctes De Blaye,,,1,,750 ml,,,,85,,1994-1999
,Ch.Hortevie,Bordeaux,1990,,,France,Saint Julien,,,3,,750 ml,,,,86,,1994-1999
,Ch.Jonqueyres,Bordeaux,1990,,,France,Bordeaux Superior,,,1,,750 ml,,,,89,,1993-2003
,Ch.La Cardonne,Bordeaux,1990,,,France,Medoc,,,2,,375 ml,,,,,,
,Ch.La Croix du Casse,Bordeaux,1989,,,France,Pomerol,,,1,,750 ml,,,,87,,1993-1998
,Ch.La Tonnelle,Bordeaux,1990,,,France,Cotes de Blaye,,,2,,750 ml,,,,,,
,Ch.La Vielle Cure,Bordeaux,1990,,,France,Fronsac,,,6,,750 ml,,"RP ""Deadringer for a top Pomerol...""",,88,,1995-2002
,Ch.Labergorce Zede,Bordeaux,1989,,,France,Margaux,,,1,,750 ml,,,,87,,1993-2005
,Ch.LaRose-Trintaudon,Bordeaux,1989,,,France,Haut-Medoc,,,1,,750 ml,,,,82,,1993-1997
,Ch.LaRose-Trintaudon,Bordeaux,1990,,,France,Haut-Medoc,,,9,,750 ml,,,,86,,1993-1999
,Ch.LaRose-Trintaudon,Bordeaux,1990,,,France,Haut-Medoc,,,2,,375 ml,,,,86,,1993-1999
,Ch.Leoville Poyferre,Bordeaux,1990,,,France,Saint Julien,,,1,,750 ml,,,,92,,1996-2025
y,Ch.Lynch Bages,Bordeaux,1989,,,France,Pauillac,,,1,,375 ml,,,,,,
,Ch.Mazeris,Bordeaux,1990,,,France,Canon Fronsac,,,2,,750 ml,,,,87,,1995-2005
,Ch.Meyney,Bordeaux,1986,,,France,Saint Estephe,,,3,,750 ml,,,,91,,
,Ch.Meyney,Bordeaux,1987,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.Meyney,Bordeaux,1989,,,France,Saint Estephe,,,1,,750 ml,,,,,,
y,Ch.Meyney,Bordeaux,2009,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.Montrose,Bordeaux,1989,,,France,Saint Estephe,,,1,,750 ml,,,95,,1997+,
,Ch.Palmer,Bordeaux,1986,,,France,Margaux,,,1,,750 ml,,,94,90,,
,Ch.Prieure-Lichine,Bordeaux,1989,,,France,Margaux,,,1,,750 ml,,,,88,,1993-2005
,Ch.Sociando-Mallet,Bordeaux,1989,,,France,Haut-Medoc,,,3,,750 ml,,,90,,1995+,
,Ch.Talbot,Bordeaux,1983,,,France,Saint-Julien,,,1,,750 ml,,,90,91,1994+,
,Ch.Talbot,Bordeaux,1985,,,France,Saint-Julien,,,3,,750 ml,,,90,89,1997+,
y,Ch.Talbot,Bordeaux,1985,,,France,Saint-Julien,,,2,,375 ml,,,90,89,1997+,
,Ch.Talbot,Bordeaux,1986,,,France,Saint-Julien,,,4,,750 ml,,,91,96,1994-2000+,
,Ch.Talbot,Bordeaux,1988,,,France,Saint-Julien,,,8,,750 ml,,,90,89,,1995-2015
,Ch.Talbot,Bordeaux,1989,,,France,Saint-Julien,,,1,,750 ml,,Gave 1 bottle to John Vigilante - 11/95,90,88,1997+,1994-2015
y,Ch.Talbot,Bordeaux,2005,,,France,Saint-Julien,,,2,,750 ml,,,,,,
y,Ch.Talbot,Bordeaux,2010,,,France,Saint-Julien,,,2,,750 ml,,,,,,
y,Ch.Talbot,Bordeaux,2016,,,France,Saint-Julien,,,2,,750 ml,,,,,,
,Ch.Tertre Daugay,Bordeaux,1989,,,France,Saint Emilion,,,1,,750 ml,,,,87,,1993-2005
,Ch. Val Joanis,Claret,1992,,,France,Cotes Du Luberon,,,2,,750 ml,,bought 1/96,,,,
,Chateau Reynella,Shiraz,1994,Basket Pressed,,Australia,McLaren Vale,,,2,,750 ml,,WS Best buy,90+,,,
,Chateau Souverain,Cab-Sauv,1990,,,US,CA,Alexander Valley,,15,,750 ml,,,,,,
,Chateau Souverain,Cab-Sauv,1991,,,US,CA,Alexander Valley,,1,,750 ml,,,85,,,
,Chateau Souverain,Cab-Sauv,1991,Alexander Valley,,US,CA,Alexander Valley,,1,,3 liter,,,,,,
,Chateau Souverain,Cab-Sauv,1992,,,US,CA,Alexander Valley,,1,,750 ml,,,87,,,
,Chimney Rock,Cab-Sauv,1990,,,US,CA,,,14,,750 ml,,,85,,,
,Clos Du Bois,Merlot,1992,,,US,CA,Sonoma,,0,,750 ml,,,,,,
,Cos D'Estournel,Bordeaux,1988,,,France,Saint Estephe,,,1,,750 ml,,,95,,1998+,
,DeLoach,Zinfandel,1994,Papera Ranch,Papera Ranch,US,CA,Sonoma County,Russian River Valley,1,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,Pelletti Ranch,Pelletti Ranch,US,CA,Sonoma County,Russian River Valley,1,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,Gambogi Ranch,Gambogi Rnch,US,CA,Sonoma County,Russian River Valley,2,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,,,US,CA,Sonoma County,Russian River Valley,2,,750 ml,,bought 1/96,,,,
,Domaine St. George,Cab-Sauv,1991,Vintage Reserve,,US,CA,Sonoma County,,1,,750 ml,,,,,,
,Domaine Capion,Merlot,1994,,,France,Languedoc,D'oc,,2,,750 ml,,,,,,
y,Dominus Estate,Cab-Sauv,1987,,,US,CA,Napa Valley,,2,,750 ml,,,,,,
,Estancia Estates,Cab-Sauv,1991,,,US,CA,Alexander Valley,,1,,750 ml,,,,,,
,Frog's Leap,Zinfandel,1994,,,US,CA,Napa Valley,Rutherford,2,,750 ml,,,,90,,Now-2000
,Foppiano,Petite Sirah,1992,Sonoma County,,US,CA,Sonoma County,Russian River Valley,0,,750 ml,,,,,,
,Groth,Cab-Sauv,1991,,,US,CA,Napa Valley,,1,,750 ml,,,90,86,,
,Guilliams,Cab-Sauv,1991,,(Backyard),US,CA,Napa,Spring Mountain,14,,750 ml,,,,88,,
,Hedges,Cab-Merl,1993,,,US,WA,,,3,,750 ml,,,,,,
,Hedges,Cab-Merl,1994,,,US,WA,,,2,,750 ml,,,,,,
,Hess,Cab-Sauv,1990,The Hess Collection,Mt. Veeder,US,CA,Napa Valley,,4,,750 ml,,only 300 cases made according to Wine Spectator,90?,,,
,Hess,Cab-Sauv,1992,Select,,US,CA,Napa Valley,,0,,750 ml,,,,,,
,J. Lohr,Cab-Sauv,1990,Cypress,,US,CA,,,5,,750 ml,,,,,,
,Jordan,Cab-Sauv,1991,,,US,CA,Sonoma,,2,,750 ml,,,,,,
,Kendall-Jackson,Merlot,1992,Vintner's Reserve,,US,CA,,,0,,750 ml,,,,,,
,Lakespring,Cab-Sauv,1990,,,US,CA,Napa,,1,,750 ml,,,,,,
