Producer,Name,Vintage,Region,Appellation,Varietal,Quantity,Bottle Size,Location,Bin,Notes
Canopy,Tres Patas Garnacha,,,,,1,750ml,,1A,Red Wine; Vivino avg 3.7; 1322 ratings; https://www.vivino.com/wines/3750901
Bolla,Le Poiane Amarone della Valpolicella Classico,,Italy,,,1,750ml,,,
Villa Mongalli,Pozzo del Curato Sagrantino di Montefalco,,Italy,,,1,,,,
Antonelli San Marco,Sagrantino Montefalco,,Italy,Montefalco,Central Italy Red,,,,,
Vinarija Vuina,Crljenak Štafileo,2018,,Dalmatian Coast,Croatian Red,,,Cellar A,,Red Wine; Vivino avg 4.0; 599 ratings; https://www.vivino.com/wines/160775754
Château Lapelletrie,Saint-Émilion Grand Cru,,,,Bordeaux Saint-Émilion,,,,6A,Red Wine; Vivino avg 4.0; 5529 ratings; https://www.vivino.com/wines/163633290
Bertani,Catullo Valpolicella Ripasso Classico Superiore,2020,Italy,Valpolicella Ripasso Classico,,,750ml,,,
Domaine des Tourelles,Marquis des Beys Rouge,,,Bekaa Valley,Lebanese Red,1,750ml,,,
Bottega,Valpolicella Ripasso Superiore,2021,,,Italian Ripasso,1,750ml,,,
G.D. Vajra,Albe Barolo,2021,Italy,,Italian Barolo,1,750ml,,,
Luigi Righetti,Capitel de Roari Amarone della Valpolicella Classico,,,,,2,750ml,,,Red Wine; Vivino avg 4.1; 30453 ratings; https://www.vivino.com/wines/167246887
San Fereolo,Il Provinciale,2019,Italy,,Italian Nebbiolo,,,,,
,Disanfrancesco Nebbiolo,,Italy,Langhe,,,750ml,,,Red Wine; Vivino avg 4.0; 8311 ratings; https://www.vivino.com/wines/170605804
San Fereolo,,,Italy,,,1,750ml,,,
Carbonaia,Montefalco Sagrantino,,Italy,,,1,,,,
Alberto Ballarin,Barolo Bussia,,Italy,,Italian Barolo,1,750ml,,,Red Wine; Vivino avg 4.1; 239 ratings; https://www.vivino.com/wines/173096918
Collina del Sole,Barolo,2021,Italy,,,1,750ml,Cellar A,,
Terra Madre,Plavac Mali Barrique,2021,,Dalmatian Coast,Croatian Dalmatian Coast Plavac Mali Red,1,750ml,,,
Tenuta San Guido,Le Difese,2023,Italy,,,1,750ml,,,Red Wine; Vivino avg 3.8; 52972 ratings; https://www.vivino.com/wines/173723532
Renato Ratti,Ochetti Nebbiolo,2023,,,Italian Nebbiolo,1,,,,Red Wine; Vivino avg 3.9; 17757 ratings; https://www.vivino.com/wines/173923332
Pietro Clementi,Valpolicella Ripasso Classico Superiore,2020,,Valpolicella Ripasso Classico,Italian Ripasso,1,,Cellar A,,
Giacomo Grimaldi,Dolcetto d'Alba,,,,,,750ml,,,Red Wine; Vivino avg 3.7; 1502 ratings; https://www.vivino.com/wines/174067777
Bodegas Roda,Roda Reserva Rioja,2023,,,,,,,,
Pasqua Vigneti e Cantine,Famiglia Pasqua Valpolicella Ripasso,,Italy,,,1,,,,
Langlois,Crémant de Loire Cadence Extra Brut,,,,,,750ml,Cellar A,,
Mormoraia,Trochus Chianti Colli Senesi Riserva,,Italy,,,,,,26A,Red Wine; Vivino avg 4.2; 233 ratings; https://www.vivino.com/wines/176467903
,Langhe Nebbiolo Angelo,2023,Italy,Langhe,Italian Nebbiolo,,,,,Red Wine; Vivino avg 3.8; 2556 ratings; https://www.vivino.com/wines/178242740
Paolo Conterno,A Mont Langhe Nebbiolo,2023,,Langhe,,1,,,,Red Wine; Vivino avg 3.8; 2507 ratings; https://www.vivino.com/wines/178667753
La Spinetta,Langhe Nebbiolo,2024,,,Italian Nebbiolo,1,750ml,Cellar A,,
Vinarija Vuina,Crljenak Štafileo,2024,,Dalmatian Coast,Croatian Red,1,,,,Red Wine; Vivino avg 4.0; 599 ratings; https://www.vivino.com/wines/180144910
Trediberri,Dogliani,2024,Italy,,,,,,31A,
